WANID	Provider	WANType	LineSpeed	UploadSpeed	DownloadSpeed	UploadShaping	WANNetwork	WANIP	CircuitID	LOCID	PhoneNumber	AssetTag	ServiceType
LDBRS233-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.68/30	184.68.134.70	1418741490	NULL	NULL	NULL	BI 50
LDBRS235-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.171.180/30	184.69.171.182	1281819482	NULL	NULL	NULL	BI 50
LDBRS236-2	SHAW	Cable	NULL	NULL	NULL	NULL	162.217.236.0/25	162.217.236.37	keta cable - na	NULL	NULL	NULL	BI 50
LDBRS237-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.138.0/30	184.68.138.2	1418844078	NULL	NULL	NULL	BI 50
LDBRS240-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.156.4/30	184.71.156.6	1418845278	NULL	NULL	NULL	BI 50
LDBRS241-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.128.120/30	184.68.128.122	1418613079	NULL	NULL	NULL	BI 50
LDBRS243-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.120.248/30	184.69.120.250	1281815975	NULL	NULL	NULL	BI 50
LDBRS244-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.56/30	184.68.134.58	1418738764	NULL	NULL	NULL	BI 50
LDBRS247-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.134.104/30	184.68.134.106	1418845278	NULL	NULL	NULL	BI 50
LDBRS302-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.132.64/30	184.68.132.66	1418711186	NULL	NULL	NULL	BI 50
LDBRS994-1	TELUS	STS ADSL CE	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS994-2	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	BI 50
LDBRS994-3	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS100-3	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS100-0	TELUS	ADSL	NULL	NULL	NULL	NULL	10.46.2.152/29	10.46.2.154	1352153	VAN570-00	NULL	1140910-SO	NULL
LDBRS114-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.38.152/30	184.68.38.154	1881129277	NULL	NULL	NULL	BI 50
LDBRR082-1	TELUS	STS L3 WAN VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.7.136/29	10.46.7.138	1359897	NULL	250-592-2810	NULL	ADSL
LDBRS214-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.51.224/30	184.68.51.226	1881479313	NULL	NULL	NULL	BI-50
LDBRS215-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.51.80/30	184.68.51.82	1881452939	NULL	NULL	NULL	BI-50
LDBRR275-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.255.0/29	10.45.255.1	000000	NULL	NULL	NULL	NULL
LDBRS275-1	TELUS	ADSL	NULL	NULL	NULL	NULL	10.45.255.0	10.45.255.1	1111111	NULL	NULL	NULL	NULL
LDB275-1	KDC2	ADSL	NULL	NULL	NULL	NULL	10.45.255.0	10.45.255.1	NULL	NULL	NULL	NULL	NULL
LDBRS134-2	SHAW	NULL	NULL	NULL	NULL	NULL	184.69.177.89/30	184.69.177.90	1282120022	NULL	NULL	NULL	NULL
LDBRS134-3	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.177.89/30	184.69.177.90	1282120022	NULL	NULL	NULL	BI-50
LDBRS134-4	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.177.89/30	184.69.177.90	1282120022	NULL	NULL	NULL	BI 50
LDBRS081-2	SHAW	Cable	NULL	NULL	NULL	NULL	64.114.127.25/28	64.114.127.25	004-061513	NULL	NULL	NULL	NULL
LDBRS081-3	SHAW	Cable	NULL	NULL	NULL	NULL	64.114.127.25/28	64.114.127.26	NULL	NULL	NULL	NULL	NULL
LDBRS081-4	SHAW	Cable	NULL	NULL	NULL	NULL	64.114.127.16/28	64.114.127.25	NULL	NULL	NULL	NULL	NULL
LDBRR224-1	TELUS	ADSL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
LDBRS224-1	TELUS	STS WAN L3 VPN ADSL CE	NULL	NULL	NULL	NULL	10.46.7.144/30	10.46.7.146	1402937	BUR008-00	NULL	1402937-SO	NULL
LDBRS224-2	SHAW	Cable	NULL	NULL	NULL	NULL	24.87.96.0/23	24.87.96.248	1421506354	NULL	NULL	NULL	BI120
cv	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
1	WAN	SHAW	1	NA	1	1	1	1	1	1	1	1	1
LDBRS067-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.126.180/30	184.69.126.182	1282081121	NULL	NULL	NULL	BI50
LDBRS127-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.149.8/29	184.68.149.10	NULL	NULL	NULL	NULL	BI50
LDBRS127-3	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.149.8/29	184.68.149.10	1419325831	NULL	NULL	NULL	BI50
LDBRS239-1	TELUS	ADSL CE	NULL	NULL	NULL	NULL	10.46.7.152/29	10.46.7.154	1406807	BUR009-00	NULL	1406807-SO	NULL
LDBRS239-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.176.164/30	184.71.176.166	1421508885	NULL	NULL	NULL	BI 50
LDBRS008-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.176.240/30	184.69.176.242	1282100111	NULL	NULL	NULL	BI 50
LDBRR082-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.69.176.80/30	184.69.176.82	1282064195	NULL	NULL	NULL	BI-50
2	1	1	1	1	1	1	1	1	1	1	1	1	1
LDBRS028-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.106.64/30	184.68.106.66	1881442706	NULL	NULL	NULL	Bi 50
LDBRS228-10	TELUS	STS WAN L3 VPN Fibre CE	10Mbps	NULL	NULL	9295000	10.46.5.176/29	10.46.5.178	133076	WVABB0-00	604-913-6149	1313076-LO	NULL
LDBRS228-20	SHAW	Cable	NULL	NULL	NULL	NULL	NULL	184.68.132.234	1418719281	NULL	NULL	NULL	NULL
LBRS228-1	TELUS	STS WAN L3 VPN Fibre CE	10Mbps	NULL	NULL	9295000	10.46.7.168/29	10.46.7.170	1440129	WVA001-00	NULL	1440129-LO	NULL
LDBRS049-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.51.48/30	184.68.51.50	1881445657	NULL	NULL	NULL	BI 50
LDBRS064-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.152.64/30	184.68.152.66	1881480380	NULL	NULL	NULL	BI 50
LDBRS245-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.106.128/30	184.68.106.130 	1881450725	NULL	NULL	NULL	BI-50
LDBRS147-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.71.99.92/30	184.71.99.94	1881450733	NULL	NULL	NULL	BI-50
LDBRS213-2	CityWest	Cable	NULL	NULL	NULL	NULL	209.145.122.0/24	209.145.122.10	200200870	NULL	NULL	NULL	BI-50
LDBRS044-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.68.51.136/29	184.68.51.138	1881460584	NULL	NULL	NULL	BI 50
LDBRS014-2	WAN	SHAW	NULL	NULL	NULL	NULL	184.68.51.56/29	184.68.51.58	1881445877	NULL	NULL	NULL	BI50
LDBRS195-2	SHAW	CABLE	NULL	NULL	NULL	NULL	184.70.17.182/30	184.70.17.184	1419235400	NULL	NULL	NULL	BI50
10.46.6.120	Telus	Fibre	1Gbps	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
test	Telus	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL
BLHRR-1	TELUS	Fibre	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	123456	NULL
BLHRR-2	SHAW	Fibre	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	NULL	123456	NULL
LDBRS095-2	SHAW	Cable	NULL	NULL	NULL	NULL	184.70.253.216/30	184.70.253.218	1881411284	NULL	NULL	NULL	BI-50
